STATE/UT,DISTRICT,YEAR,MURDER,CULPABLE HOMICIDE,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,DOWRY DEATHS,ASSAULT ON WOMEN,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,,,,,
NAGALAND,TOTAL,2002,100,5,17,27,21,110,128,257,5,10,21,0,1,0,0,,,,,
ODISHA,TOTAL,2002,1075,58,691,523,246,945,2884,5268,1598,246,793,248,1605,188,1167,,,,,
PUNJAB,TOTAL,2002,733,79,299,551,50,110,1928,2963,2,373,2716,166,341,145,944,,,,,
RAJASTHAN,TOTAL,2002,1276,68,1051,2587,47,734,6661,16313,7178,938,7286,399,2730,44,5691,,,,,
SIKKIM,TOTAL,2002,13,2,6,9,0,5,66,64,15,3,48,0,17,0,3,,,,,
TAMIL NADU,TOTAL,2002,1723,36,534,1001,176,653,5533,18755,4252,288,2017,243,1877,1718,1052,,,,,
TRIPURA,TOTAL,2002,201,1,108,128,29,56,192,270,180,12,20,16,128,0,236,,,,,
UTTAR PRADESH,TOTAL,2002,6825,1243,1415,3430,552,2840,6126,22419,4878,2738,5026,1893,2145,1887,5679,,,,,
UTTARAKHAND,TOTAL,2002,292,47,89,198,32,177,554,1365,342,145,312,66,145,97,316,,,,,
WEST BENGAL,TOTAL,2002,1444,540,759,831,204,544,348,12449,2461,451,1315,273,964,34,4069,,,,,
A & N ISLANDS,TOTAL,2002,17,1,2,2,1,7,49,49,11,4,11,0,17,3,4,,,,,
CHANDIGARH,TOTAL,2002,31,7,18,54,1,26,336,1647,78,35,181,1,36,28,56,,,,,
D & N HAVELI,TOTAL,2002,11,0,4,9,3,1,38,75,5,12,10,0,3,0,3,,,,,
DAMAN & DIU,TOTAL,2002,8,0,0,3,2,1,56,56,16,5,10,0,0,0,3,,,,,
DELHI,TOTAL,2002,531,68,403,1323,47,502,2360,16625,139,444,2098,135,446,128,135,,,,,
LAKSHADWEEP,TOTAL,2002,0,0,1,0,0,0,9,12,18,0,0,0,1,0,0,,,,,
PUDUCHERRY,TOTAL,2002,29,2,6,10,2,6,129,526,193,11,31,5,59,26,9,,,,,
ANDHRA PRADESH,TOTAL,2003,2667,147,946,1485,176,660,9050,23408,2328,1099,7581,466,4128,2286,8167,,,,,
ARUNACHAL PRADESH,TOTAL,2003,77,3,31,68,37,60,253,370,7,28,21,0,43,0,14,,,,,
ASSAM,TOTAL,2003,1191,48,1095,1628,471,523,2606,5525,3340,611,894,60,878,6,1808,,,,,
BIHAR,TOTAL,2003,3771,298,985,2427,1221,2463,2986,10124,8029,1105,1947,909,688,11,1880,,,,,
CHHATTISGARH,TOTAL,2003,776,51,898,177,140,331,3621,4170,703,76,412,79,1481,105,601,,,,,
GOA,TOTAL,2003,34,6,31,14,5,21,257,464,47,60,106,2,19,7,24,,,,,
GUJARAT,TOTAL,2003,1114,29,236,1044,338,1267,5844,19304,1824,1873,1975,54,722,92,3684,,,,,
HARYANA,TOTAL,2003,702,76,353,388,63,281,2981,5591,639,586,900,222,344,1302,1618,,,,,
HIMACHAL PRADESH,TOTAL,2003,125,5,126,113,8,19,707,627,610,63,130,6,250,18,221,,,,,
JAMMU & KASHMIR,TOTAL,2003,929,29,211,712,23,154,1526,1949,1167,116,408,10,875,376,71,,,,,
JHARKHAND,TOTAL,2003,1482,109,712,487,702,864,1468,4155,2481,265,479,262,424,2,559,,,,,
KARNATAKA,TOTAL,2003,1506,58,321,531,220,861,6055,14180,5784,495,2752,194,1585,84,1704,,,,,
KERALA,TOTAL,2003,435,343,394,189,142,634,4409,4891,6798,323,3061,33,1947,68,2930,,,,,
MADHYA PRADESH,TOTAL,2003,2227,203,2738,887,153,1578,12884,20422,2729,549,1222,648,6848,705,2938,,,,,
MAHARASHTRA,TOTAL,2003,2772,113,1268,926,514,2096,13892,37098,5714,1561,5005,368,2661,682,5452,,,,,
MANIPUR,TOTAL,2003,150,6,18,120,3,6,68,252,73,16,76,0,44,0,4,,,,,
MEGHALAYA,TOTAL,2003,175,17,40,49,83,133,160,360,5,12,34,0,13,1,4,,,,,
MIZORAM,TOTAL,2003,46,3,54,8,5,21,487,1303,3,19,60,0,88,0,3,,,,,
NAGALAND,TOTAL,2003,91,8,14,38,19,92,95,221,8,3,11,0,4,2,0,,,,,
ODISHA,TOTAL,2003,1044,188,725,477,178,875,2961,5359,1408,254,937,279,1669,188,1289,,,,,
PUNJAB,TOTAL,2003,731,89,380,464,30,108,2094,3198,0,343,3123,110,346,199,987,,,,,
RAJASTHAN,TOTAL,2003,1262,61,1050,2238,36,655,6072,16456,4052,902,7225,389,2715,33,5733,,,,,
SIKKIM,TOTAL,2003,14,3,10,0,2,3,48,65,10,7,12,0,25,0,1,,,,,
TAMIL NADU,TOTAL,2003,1591,28,557,879,95,514,4849,18213,3706,307,1904,220,2022,881,1555,,,,,
TRIPURA,TOTAL,2003,254,0,114,146,36,69,167,276,274,3,25,20,127,0,247,,,,,
UTTAR PRADESH,TOTAL,2003,5284,1525,911,2208,317,1988,4016,15751,2251,1746,2911,1322,1098,4970,2626,,,,,
UTTARAKHAND,TOTAL,2003,268,31,107,171,26,160,557,1368,392,138,379,93,136,98,317,,,,,
WEST BENGAL,TOTAL,2003,1425,484,1002,902,217,598,342,12613,2596,378,1534,329,1186,71,4948,,,,,
A & N ISLANDS,TOTAL,2003,21,1,2,2,2,7,56,60,19,3,13,0,9,2,7,,,,,
CHANDIGARH,TOTAL,2003,21,2,18,32,3,12,204,1238,46,32,209,1,11,4,93,,,,,
